id_pays,Country,date,Direct investment,Direct investor in direct investment enterprises,Equity and investment fund shares,Financial derivatives (other than reserves) and employee stock options,Other investment,Portfolio investment
4,China,2013,1463425.16,1283448.64,5507277.22,66043.34,947084.93,521808.86
4,China,2014,1639420.02,1445521.89,5507277.22,70953.39,1069191.54,526822.38
4,China,2015,1767283.27,1566570.03,5507277.22,74275.85,1056002.19,463479.39
4,China,2016,1823852.46,1600706.73,5507277.22,106660.56,1087450.86,437293.4
4,China,2017,2168355.52,1907809.83,5507277.22,70501.54,1245633.61,572977.86
4,China,2018,2185433.24,1928495.79,5507277.22,73439.49,1351255.55,538500.51
4,China,2019,2078712.34,1824902.02,5507277.22,74537.05,1336099.65,573225.63
4,China,2020,2048693.28,1778230.36,5507277.22,116639.88,1443684.77,560355.09
4,China,2021,2157752.24,1872809.95,5507277.22,94708.64,1512161.45,525543.6
4,China,2022,2215899.46,1913463.88,5507277.22,153655.74,1443875.13,500841.57
5,Russian Federeation,2005,180170.98,167740.06,5507277.22,52.1,201395.46,166178.9
5,Russian Federeation,2006,265652.73,244386.44,5507277.22,177.7,238638.77,265341.55
5,Russian Federeation,2007,490595.15,464243.89,5507277.22,874.9,383923.29,366660.3
5,Russian Federeation,2008,214049.02,183334.98,5507277.22,10396.17,419636.75,111805.79
5,Russian Federeation,2009,377447.11,331680.5,5507277.22,5204.79,385017.83,217125.25
5,Russian Federeation,2010,488992.87,425800.67,5507277.22,2840.29,383866.86,277038.68
5,Russian Federeation,2011,454949.15,365060.34,5507277.22,5905.06,409530.71,225062.13
5,Russian Federeation,2012,514925.6,385427.17,5507277.22,4284.87,448431.65,270724.51
5,Russian Federeation,2013,565654.22,409850.01,5507277.22,4284.87,448449.12,270724.51
5,Russian Federeation,2014,371491.21,235680.64,5507277.22,21529.78,415505.03,156424.3
5,Russian Federeation,2015,347689.82,207017.66,5507277.22,9244.88,340186.35,141646.9
5,Russian Federeation,2016,477670.01,335480.32,5507277.22,6455.04,321318.84,215960.3
5,Russian Federeation,2017,529643.81,379888.37,5507277.22,4504.73,302136.96,230154.86
5,Russian Federeation,2018,497366.15,356048.89,5507277.22,4932.99,259983.5,206909.35
5,Russian Federeation,2019,586994.27,433933.25,5507277.22,5732.54,259822.06,302253.32
5,Russian Federeation,2020,539746.64,395434.98,5507277.22,8265.29,248416.83,255924.79
5,Russian Federeation,2021,610082.5,473078.3,5507277.22,5757.4,277428.98,273635.68
5,Russian Federeation,2022,442276.47,340956.5,5507277.22,1281.6,1480712.82,155096.78
6,Morocco,2005,20751.54,19016.93,5507277.22,669483.79,15663.48,2037.45
6,Morocco,2006,29938.72,28213.54,5507277.22,669483.79,17057.3,2110.29
6,Morocco,2007,38613.26,36530.87,5507277.22,669483.79,19849.46,3277.07
6,Morocco,2008,39388.35,37347.83,5507277.22,669483.79,20861.58,3209.97
6,Morocco,2009,42581.1,40749.63,5507277.22,669483.79,25312.45,3663.9
6,Morocco,2010,45081.59,43428.1,5507277.22,669483.79,27755.04,3576.29
6,Morocco,2011,44515.94,42493.53,5507277.22,669483.79,30898.66,3245.85
6,Morocco,2012,45620.29,42797.59,5507277.22,669483.79,34265.4,3003.7
6,Morocco,2013,1406344.76,493922.45,5507277.22,57.63,1480712.82,2947748.43
6,Morocco,2014,51192.03,48049.4,5507277.22,134.28,37142.6,10594.1
6,Morocco,2015,49670.52,45803.12,5507277.22,50.72,35455.25,10373.3
6,Morocco,2016,54784.22,50451.27,5507277.22,106.57,38903.95,10722.12
6,Morocco,2017,63204.8,57759.79,5507277.22,34.33,41493.13,11801.41
6,Morocco,2018,64135.3,58212.84,5507277.22,30.31,40783.52,10561.33
6,Morocco,2019,66551.12,60118.81,5507277.22,13.38,43354.17,11762.02
6,Morocco,2020,71975.01,64643.37,5507277.22,40.02,53044.4,14767.15
6,Morocco,2021,72884.89,65330.22,5507277.22,14.05,52219.52,14585.89
6,Morocco,2022,63277.86,55783.32,5507277.22,33.01,53132.18,12454.52
7,Saudi Arabia,2005,1406344.76,493922.45,5507277.22,669483.79,1480712.82,2947748.43
7,Saudi Arabia,2006,112935.47,493922.45,5507277.22,669483.79,43714.13,3199.47
7,Saudi Arabia,2007,148088.8,493922.45,5507277.22,669483.79,49400.47,3908.53
7,Saudi Arabia,2008,176377.87,493922.45,5507277.22,669483.79,48936.83,3617.6
7,Saudi Arabia,2009,186758.13,493922.45,5507277.22,669483.79,45515.24,6329.87
7,Saudi Arabia,2010,199032.13,493922.45,5507277.22,669483.79,41939.41,10171.73
7,Saudi Arabia,2011,207896.96,493922.45,5507277.22,669483.79,39647.4,17200.93
7,Saudi Arabia,2012,215908.75,493922.45,5507277.22,669483.79,45087.68,16718.35
7,Saudi Arabia,2013,224049.77,493922.45,5507277.22,669483.79,48524.18,32582.11
7,Saudi Arabia,2014,231502.31,493922.45,5507277.22,669483.79,57287.5,49329.71
7,Saudi Arabia,2015,227566.42,493922.45,5507277.22,669483.79,65639.53,69618.86
7,Saudi Arabia,2016,231813.51,493922.45,5507277.22,669483.79,89631.4,84638.68
7,Saudi Arabia,2017,236376.09,493922.45,5507277.22,669483.79,110628.33,141818.19
7,Saudi Arabia,2018,241775.25,493922.45,5507277.22,669483.79,137003.43,170116.75
7,Saudi Arabia,2019,261060.89,493922.45,5507277.22,669483.79,162312.24,207381.98
7,Saudi Arabia,2020,268947.09,493922.45,5507277.22,669483.79,151071.45,219458.38
7,Saudi Arabia,2021,1406344.76,493922.45,5507277.22,669483.79,1480712.82,2947748.43
7,Saudi Arabia,2022,1406344.76,493922.45,5507277.22,669483.79,1480712.82,2947748.43
8,Ukraine,2005,17209.0,16375.0,5507277.22,669483.79,30649.51,9011.0
8,Ukraine,2006,23125.0,21182.0,5507277.22,669483.79,40956.24,12861.0
8,Ukraine,2007,38361.0,34980.0,5507277.22,669483.79,60340.25,18618.0
