id_pays,Country,date,Direct investment,Direct investor in direct investment enterprises,Equity and investment fund shares,Financial derivatives (other than reserves) and employee stock options,Other investment,Portfolio investment,Reserve assets
3,Germany,2012,1928817.67,1480572.63,5844615.0,1259756.52,3435885.16,2760138.62,248856.9
3,Germany,2013,2103930.14,1595782.81,5844615.0,868024.85,3338864.54,3083616.57,198207.23
3,Germany,2014,1995930.62,1505154.98,5844615.0,960752.54,3077549.24,3075741.45,192750.11
3,Germany,2015,1958382.95,1461293.42,5844615.0,724284.89,2830929.19,2905617.28,173683.65
3,Germany,2016,1992210.0,1494932.0,5844615.0,644450.39,2930993.57,2976786.83,185286.6
3,Germany,2017,2390539.5,1782958.53,5844615.0,569878.58,3425866.41,3654393.03,200089.96
3,Germany,2018,2470659.25,1887794.71,5844615.0,487521.54,3458860.66,3436662.54,198229.92
3,Germany,2019,2617700.62,2013613.62,5844615.0,702162.07,3416635.74,3867710.05,223832.28
3,Germany,2020,2999790.75,2286995.35,5844615.0,1031031.51,4088746.28,4499990.44,268777.25
3,Germany,2021,2986671.86,2253849.08,5844615.0,806820.07,4240875.73,4586438.78,296038.72
3,Germany,2022,3031351.86,2280101.75,5844615.0,1640330.54,4137724.31,3739707.59,294706.48
4,China,2005,551008.71,411005.48,5844615.0,17192.91,441059.79,436598.65,114147.44
4,China,2006,759802.17,604291.59,5844615.0,22535.73,513673.03,580551.55,126702.04
4,China,2007,1107964.37,941210.02,5844615.0,47890.66,733908.74,778579.89,139452.41
4,China,2008,858421.26,675517.71,5844615.0,87131.28,680400.88,557156.44,164199.08
4,China,2009,928946.3,749282.7,5844615.0,48897.43,631665.66,811482.05,245464.25
4,China,2010,1039043.15,849567.3,5844615.0,58768.92,703805.26,929450.9,256907.2
4,China,2011,1129058.79,912865.11,5844615.0,69440.99,803815.34,825764.08,270492.3
4,China,2012,1273797.17,1023557.32,5844615.0,85354.49,818264.63,987223.28,300686.0
4,China,2013,1352095.96,1095353.84,5844615.0,73259.56,898546.72,1121244.21,311194.55
4,China,2014,1593516.21,1297144.48,5844615.0,80395.98,1003697.38,1170486.24,328482.85
4,China,2015,1707091.54,1355348.82,5844615.0,82717.12,956858.27,1258695.31,358807.01
4,China,2016,1744500.39,1385848.59,5844615.0,110664.04,1000483.49,1367234.72,386199.03
4,China,2017,2037735.09,1640663.04,5844615.0,78952.65,1206417.84,1723972.61,431551.68
4,China,2018,2051477.28,1654261.3,5844615.0,80581.06,1281858.69,1592824.61,424418.15
4,China,2019,2015466.55,1630652.63,5844615.0,78989.47,1286143.7,1819545.78,441621.54
4,China,2020,2117931.38,1733396.75,5844615.0,114157.36,1374812.98,2192641.82,491828.71
4,China,2021,2199838.04,1825219.42,5844615.0,104539.75,1482058.48,2118193.64,496758.56
4,China,2022,2179933.15,1795750.0,5844615.0,161006.92,1488535.09,1822200.82,423863.12
5,Russian Federeation,2005,140775.21,139045.71,5844615.0,50.9,175090.41,17774.73,182240.35
5,Russian Federeation,2006,234631.57,231120.35,5844615.0,222.1,204139.1,12248.1,303731.87
5,Russian Federeation,2007,365797.39,350849.3,5844615.0,1423.4,227493.24,19935.53,478762.37
5,Russian Federeation,2008,198437.04,182056.47,5844615.0,5302.0,351894.03,24221.35,426283.03
5,Russian Federeation,2009,298357.01,272600.97,5844615.0,2240.16,309507.41,38155.78,439446.6
5,Russian Federeation,2010,361120.69,314323.47,5844615.0,1639.25,292357.45,36656.32,479373.97
5,Russian Federeation,2011,361750.02,287214.1,5844615.0,5674.94,336391.84,42434.94,498644.9
5,Russian Federeation,2012,409567.14,327476.36,5844615.0,5553.5,379661.4,48299.77,537616.11
5,Russian Federeation,2013,479501.12,400362.06,5844615.0,5931.87,425826.81,53743.44,509592.54
5,Russian Federeation,2014,414413.29,326544.6,5844615.0,17564.81,404131.82,56629.52,385458.87
5,Russian Federeation,2015,375034.33,286253.08,5844615.0,11145.74,355240.56,68118.7,368397.83
5,Russian Federeation,2016,426608.32,329277.74,5844615.0,6856.53,357806.99,72060.18,377738.08
5,Russian Federeation,2017,477213.39,372411.45,5844615.0,4853.4,357992.62,73945.51,432731.04
5,Russian Federeation,2018,435862.04,329808.36,5844615.0,6406.96,364296.14,68551.09,468477.85
5,Russian Federeation,2019,501156.74,390767.46,5844615.0,5362.13,373134.01,80294.4,554346.04
5,Russian Federeation,2020,471840.12,370670.0,5844615.0,6735.53,386862.88,107873.51,595772.04
5,Russian Federeation,2021,487003.98,392291.76,5844615.0,6444.19,410411.58,117412.98,630624.22
5,Russian Federeation,2022,381194.39,297711.68,5844615.0,1281.72,548801.45,80640.92,399885.41
6,Morocco,2005,665.63,534.74,5844615.0,702257.61,3969.23,175.54,16460.81
6,Morocco,2006,1053.64,983.94,5844615.0,702257.61,4735.54,178.45,20814.31
6,Morocco,2007,1337.14,1245.62,5844615.0,702257.61,5710.24,915.82,24715.57
6,Morocco,2008,1699.09,1551.81,5844615.0,702257.61,4885.12,1022.19,22764.04
6,Morocco,2009,1861.38,1799.33,5844615.0,702257.61,4585.22,724.14,23579.44
